#,Table Name,Column Name,Description,Format/Unit of measure,DATA_TYPE,Alter SQL
789,pension.PensionCreditRating,Aa_GovAg_MktVal_M,Aa - Government agencies,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_GovAg_MktVal_M decimal(18, 2) null"
790,pension.PensionCreditRating,Aa_GovAg_ParVal_M,Aa - Government agencies,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_GovAg_ParVal_M decimal(18, 2) null"
791,pension.PensionCreditRating,A_GovAg_MktVal_M,A - Government agencies,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_GovAg_MktVal_M decimal(18, 2) null"
792,pension.PensionCreditRating,A_GovAg_ParVal_M,A - Government agencies,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_GovAg_ParVal_M decimal(18, 2) null"
793,pension.PensionCreditRating,Baa_GovAg_MktVal_M,Baa - Government agencies,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_GovAg_MktVal_M decimal(18, 2) null"
798,pension.PensionInterestRateRisk,Total_Duration,Total Portfolio Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column Total_Duration decimal(18, 16) null"
799,pension.PensionInterestRateRisk,Total_MktVal_Duration,Total Portfolio with Duration Values,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column Total_MktVal_Duration decimal(18, 2) null"
802,pension.PensionInterestRateRisk,FITotal_MktVal,Total Fixed Income Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column FITotal_MktVal decimal(18, 2) null"
803,pension.PensionInterestRateRisk,FITotal_Duration,Total Fixed Income Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column FITotal_Duration decimal(18, 16) null"
804,pension.PensionInterestRateRisk,GovBond_MktVal,Government Bonds Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovBond_MktVal decimal(18, 2) null"
805,pension.PensionInterestRateRisk,GovBond_Duration,Government Bonds Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovBond_Duration decimal(18, 16) null"
806,pension.PensionInterestRateRisk,GovAgency_MktVal,Government Agencies Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovAgency_MktVal decimal(18, 2) null"
807,pension.PensionInterestRateRisk,GovAgency_Duration,Government Agencies Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovAgency_Duration decimal(18, 16) null"
808,pension.PensionInterestRateRisk,GovtRelated_MktVal,Government Related Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovtRelated_MktVal decimal(18, 2) null"
809,pension.PensionInterestRateRisk,GovtRelated_Duration,Government Related Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovtRelated_Duration decimal(18, 16) null"
810,pension.PensionInterestRateRisk,GMBS_MktVal,Government Mortgage Backed Securities Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column GMBS_MktVal decimal(18, 2) null"
811,pension.PensionInterestRateRisk,GMBS_Duration,Government Mortgage Backed Securities Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column GMBS_Duration decimal(18, 16) null"
812,pension.PensionInterestRateRisk,CMO_MktVal,Collateralized Mortgage Obligation Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column CMO_MktVal decimal(18, 2) null"
813,pension.PensionInterestRateRisk,CMO_Duration,Collateralized Mortgage Obligation Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column CMO_Duration decimal(18, 16) null"
814,pension.PensionInterestRateRisk,GovAgCMO_MktVal,Government Agency Collateralized Mortgage Obligation (CMO) Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovAgCMO_MktVal decimal(18, 2) null"
815,pension.PensionInterestRateRisk,GovAgCMO_Duration,Government Agency Collateralized Mortgage Obligation (CMO) Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovAgCMO_Duration decimal(18, 16) null"
816,pension.PensionInterestRateRisk,GovAgCMOInt_MktVal,Government Agency CMO (Interest Only) Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovAgCMOInt_MktVal decimal(18, 2) null"
817,pension.PensionInterestRateRisk,GovAgCMOInt_Duration,Government Agency CMO (Interest Only) Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovAgCMOInt_Duration decimal(18, 16) null"
818,pension.PensionInterestRateRisk,CMOGovSpons_MktVal,CMOs of Government Sponsored Entities Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column CMOGovSpons_MktVal decimal(18, 2) null"
819,pension.PensionInterestRateRisk,CMOGovSpons_Duration,CMOs of Government Sponsored Entities Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column CMOGovSpons_Duration decimal(18, 16) null"
820,pension.PensionInterestRateRisk,NonGovCMO_MktVal,Non-Government Backed CMOs Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonGovCMO_MktVal decimal(18, 2) null"
821,pension.PensionInterestRateRisk,NonGovCMO_Duration,Non-Government Backed CMOs Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonGovCMO_Duration decimal(18, 16) null"
822,pension.PensionInterestRateRisk,CorpCMOInt_MktVal,Corporate CMO (Interest Only) Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column CorpCMOInt_MktVal decimal(18, 2) null"
823,pension.PensionInterestRateRisk,CorpCMOInt_Duration,Corporate CMO (Interest Only) Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column CorpCMOInt_Duration decimal(18, 16) null"
824,pension.PensionInterestRateRisk,CMBS_MktVal,Commercial Mortgage Backed Securities (CMBS) Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column CMBS_MktVal decimal(18, 2) null"
825,pension.PensionInterestRateRisk,CMBS_Duration,Commercial Mortgage Backed Securities (CMBS) Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column CMBS_Duration decimal(18, 16) null"
826,pension.PensionInterestRateRisk,GovtCMBS_MktVal,Government Issued CMBS Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovtCMBS_MktVal decimal(18, 2) null"
827,pension.PensionInterestRateRisk,GovtCMBS_Duration,Government Issued CMBS Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovtCMBS_Duration decimal(18, 16) null"
828,pension.PensionInterestRateRisk,MBS_MktVal,Mortgage Backed Securities Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column MBS_MktVal decimal(18, 2) null"
829,pension.PensionInterestRateRisk,MBS_Duration,Mortgage Backed Securities Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column MBS_Duration decimal(18, 16) null"
830,pension.PensionInterestRateRisk,ABS_MktVal,Asset Backed Securities Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column ABS_MktVal decimal(18, 2) null"
831,pension.PensionInterestRateRisk,ABS_Duration,Asset Backed Securities Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column ABS_Duration decimal(18, 16) null"
832,pension.PensionInterestRateRisk,OtherABS_MktVal,Other Asset Backed Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column OtherABS_MktVal decimal(18, 2) null"
833,pension.PensionInterestRateRisk,OtherABS_Duration,Other Asset Backed Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column OtherABS_Duration decimal(18, 16) null"
834,pension.PensionInterestRateRisk,GovtABS_MktValue,Government Asset Backed Securities Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovtABS_MktValue decimal(18, 2) null"
835,pension.PensionInterestRateRisk,GovtABS_Duration,Government Asset Backed Securities Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovtABS_Duration decimal(18, 16) null"
836,pension.PensionInterestRateRisk,CorpABS_MktVal,Corporate Asset Backed Securities Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column CorpABS_MktVal decimal(18, 2) null"
837,pension.PensionInterestRateRisk,CorpABS_Duration,Corporate Asset Backed Securities Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column CorpABS_Duration decimal(18, 16) null"
838,pension.PensionInterestRateRisk,GovAgMortBack_MktVal,Government Agency Mortgage Backed Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovAgMortBack_MktVal decimal(18, 2) null"
839,pension.PensionInterestRateRisk,GovAgMortBack_Duration,Government Agency Mortgage Backed Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovAgMortBack_Duration decimal(18, 16) null"
840,pension.PensionInterestRateRisk,GovSponsAgMortBck_MktVal,Government-Sponsored Agency Mortgage Backed Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovSponsAgMortBck_MktVal decimal(18, 2) null"
841,pension.PensionInterestRateRisk,GovSponsAgMortBck_Duration,Government-Sponsored Agency Mortgage Backed Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column GovSponsAgMortBck_Duration decimal(18, 16) null"
842,pension.PensionInterestRateRisk,USAgBck_MktVal,US Agencies-Backed Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column USAgBck_MktVal decimal(18, 2) null"
843,pension.PensionInterestRateRisk,USAgBck_Duration,US Agencies-Backed Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column USAgBck_Duration decimal(18, 16) null"
844,pension.PensionInterestRateRisk,USAgSpns_MktVal,US Agencies-Sponsored Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column USAgSpns_MktVal decimal(18, 2) null"
845,pension.PensionInterestRateRisk,USAgSpns_Duration,US Agencies-Sponsored Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column USAgSpns_Duration decimal(18, 16) null"
846,pension.PensionInterestRateRisk,USAgDebt_MktVal,US Agency Debt Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column USAgDebt_MktVal decimal(18, 2) null"
847,pension.PensionInterestRateRisk,USAgDebt_Duration,US Agency Debt Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column USAgDebt_Duration decimal(18, 16) null"
848,pension.PensionInterestRateRisk,USAgTBA_MktVal,"US Agency ""To-Be-Announced"" Market Value",$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column USAgTBA_MktVal decimal(18, 2) null"
849,pension.PensionInterestRateRisk,USAgTBA_Duration,"US Agency ""To-Be-Announced"" Duration",0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column USAgTBA_Duration decimal(18, 16) null"
850,pension.PensionInterestRateRisk,USAgDisctNote_MktVal,US Agency Discount Notes Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column USAgDisctNote_MktVal decimal(18, 2) null"
851,pension.PensionInterestRateRisk,USAgDisctNote_Duration,US Agency Discount Notes Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column USAgDisctNote_Duration decimal(18, 16) null"
852,pension.PensionInterestRateRisk,FITIPS_MktVal,Inflation Linked Bonds/TIPS Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column FITIPS_MktVal decimal(18, 2) null"
853,pension.PensionInterestRateRisk,FITIPS_Duration,Inflation Linked Bonds/TIPS Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column FITIPS_Duration decimal(18, 16) null"
854,pension.PensionInterestRateRisk,IndexLinkGov_MktVal,Index Linked Government Bonds Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column IndexLinkGov_MktVal decimal(18, 2) null"
855,pension.PensionInterestRateRisk,IndexLinkGov_Duration,Index Linked Government Bonds Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column IndexLinkGov_Duration decimal(18, 16) null"
856,pension.PensionInterestRateRisk,IndexLinkTreas_MktVal,Index Linked Treasury Funds Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column IndexLinkTreas_MktVal decimal(18, 2) null"
857,pension.PensionInterestRateRisk,IndexLinkTreas_Duration,Index Linked Treasury Funds Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column IndexLinkTreas_Duration decimal(18, 16) null"
858,pension.PensionInterestRateRisk,FITreasury_MktVal,US Treasury (Not TIPS) Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column FITreasury_MktVal decimal(18, 2) null"
859,pension.PensionInterestRateRisk,FITreasury_Duration,US Treasury (Not TIPS) Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column FITreasury_Duration decimal(18, 16) null"
860,pension.PensionInterestRateRisk,USTrsy_MktVal,US Treasury (any type) Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column USTrsy_MktVal decimal(18, 2) null"
861,pension.PensionInterestRateRisk,USTrsy_Duration,US Treasury (any type) Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column USTrsy_Duration decimal(18, 16) null"
862,pension.PensionInterestRateRisk,USTreasBill_MktVal,US Treasury Bills Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column USTreasBill_MktVal decimal(18, 2) null"
863,pension.PensionInterestRateRisk,USTreasBill_Duration,US Treasury Bills Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column USTreasBill_Duration decimal(18, 16) null"
864,pension.PensionInterestRateRisk,TreasDiscnt_MktVal,US Treasury Discount Notes Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column TreasDiscnt_MktVal decimal(18, 2) null"
865,pension.PensionInterestRateRisk,TreasDiscnt_Duration,US Treasury Discount Notes Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column TreasDiscnt_Duration decimal(18, 16) null"
866,pension.PensionInterestRateRisk,USTreasNote_MktVal,US Treasury Notes Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column USTreasNote_MktVal decimal(18, 2) null"
867,pension.PensionInterestRateRisk,USTreasNote_Duration,US Treasury Notes Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column USTreasNote_Duration decimal(18, 16) null"
868,pension.PensionInterestRateRisk,TreasStrip_MktVal,US Treasury STRIPS Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column TreasStrip_MktVal decimal(18, 2) null"
869,pension.PensionInterestRateRisk,TreasStrip_Duration,US Treasury STRIPS Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column TreasStrip_Duration decimal(18, 16) null"
870,pension.PensionInterestRateRisk,USTreasBond_MktVal,US Treasury Bond Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column USTreasBond_MktVal decimal(18, 2) null"
871,pension.PensionInterestRateRisk,USTreasBond_Duration,US Treasury Bond Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column USTreasBond_Duration decimal(18, 16) null"
872,pension.PensionInterestRateRisk,YnkeeGov_MktVal,Yankee Government Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column YnkeeGov_MktVal decimal(18, 2) null"
873,pension.PensionInterestRateRisk,YnkeeGov_Duration,Yankee Government Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column YnkeeGov_Duration decimal(18, 16) null"
874,pension.PensionInterestRateRisk,USGovOblg_MktVal,US Government Obligations Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column USGovOblg_MktVal decimal(18, 2) null"
875,pension.PensionInterestRateRisk,USGovOblg_Duration,US Government Obligation Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column USGovOblg_Duration decimal(18, 16) null"
876,pension.PensionInterestRateRisk,USCorpBond_MktVal,US Corporate Bonds Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column USCorpBond_MktVal decimal(18, 2) null"
877,pension.PensionInterestRateRisk,USCorpBond_Duration,US Corporate Bonds Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column USCorpBond_Duration decimal(18, 16) null"
878,pension.PensionInterestRateRisk,USFxdInc_MktVal,US Fixed Income Funds Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column USFxdInc_MktVal decimal(18, 2) null"
879,pension.PensionInterestRateRisk,USFxdInc_Duration,US Fixed Income Funds Duration,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column USFxdInc_Duration decimal(18, 2) null"
880,pension.PensionInterestRateRisk,DomCoreBond_MktVal,Domestic Core Bonds Market Value,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column DomCoreBond_MktVal decimal(18, 16) null"
881,pension.PensionInterestRateRisk,DomCoreBond_Duration,Domestic Core Bonds Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column DomCoreBond_Duration decimal(18, 16) null"
882,pension.PensionInterestRateRisk,DomFixInc_MktVal,Domestic Fixed Income Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column DomFixInc_MktVal decimal(18, 2) null"
883,pension.PensionInterestRateRisk,DomFixInc_Duration,Domestic Fixed Income Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column DomFixInc_Duration decimal(18, 16) null"
884,pension.PensionInterestRateRisk,ShrtTrmUSAg_MktVal,Short Term US Agencies Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column ShrtTrmUSAg_MktVal decimal(18, 2) null"
885,pension.PensionInterestRateRisk,ShrtTrmUSAg_Duration,Short Term US Agencies Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column ShrtTrmUSAg_Duration decimal(18, 16) null"
886,pension.PensionInterestRateRisk,DomAsstMortBckd_MktVal,Domestic Asset and Mortgage Backed Securities Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column DomAsstMortBckd_MktVal decimal(18, 2) null"
887,pension.PensionInterestRateRisk,DomAsstMortBckd_Duration,Domestic Asset and Mortgage Backed Securities Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column DomAsstMortBckd_Duration decimal(18, 16) null"
888,pension.PensionInterestRateRisk,NonUSAsstMortBckd_MktVal,Non-US Asset and Mortgage Backed Securities Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSAsstMortBckd_MktVal decimal(18, 2) null"
889,pension.PensionInterestRateRisk,NonUSAsstMortBckd_Duration,Non-US Asset and Mortgage Backed Securities Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSAsstMortBckd_Duration decimal(18, 16) null"
890,pension.PensionInterestRateRisk,Euro_MktVal,Euro Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column Euro_MktVal decimal(18, 2) null"
891,pension.PensionInterestRateRisk,Euro_Duration,Euro Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column Euro_Duration decimal(18, 16) null"
892,pension.PensionInterestRateRisk,IntFixInc_MktVal,International Fixed Income Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column IntFixInc_MktVal decimal(18, 2) null"
893,pension.PensionInterestRateRisk,IntFixInc_Duration,International Fixed Income Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column IntFixInc_Duration decimal(18, 16) null"
894,pension.PensionInterestRateRisk,IntDebtSec_MktVal,International Debt Securities Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column IntDebtSec_MktVal decimal(18, 2) null"
895,pension.PensionInterestRateRisk,IntDebtSec_Duration,International Debt Securities Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column IntDebtSec_Duration decimal(18, 16) null"
896,pension.PensionInterestRateRisk,NonUSCorpBond_MktVal,Non-US Corporate Bonds Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSCorpBond_MktVal decimal(18, 2) null"
897,pension.PensionInterestRateRisk,NonUSCorpBond_Duration,Non-US Corporate Bonds Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSCorpBond_Duration decimal(18, 16) null"
898,pension.PensionInterestRateRisk,NonUSGovBond_MktVal,Non-US Government Bonds Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSGovBond_MktVal decimal(18, 2) null"
899,pension.PensionInterestRateRisk,NonUSGovBond_Duration,Non-US Government Bonds Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSGovBond_Duration decimal(18, 16) null"
900,pension.PensionInterestRateRisk,ShrtTermNonUSGov_MktVal,Short Term Non-US Government Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column ShrtTermNonUSGov_MktVal decimal(18, 2) null"
901,pension.PensionInterestRateRisk,ShrtTermNonUSGov_Duration,Short Term Non-US Government Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column ShrtTermNonUSGov_Duration decimal(18, 16) null"
902,pension.PensionInterestRateRisk,NonUSGovAg_MktVal,Non-US Government Agencies Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSGovAg_MktVal decimal(18, 2) null"
903,pension.PensionInterestRateRisk,NonUSGovAg_Duration,Non-US Government Agencies Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSGovAg_Duration decimal(18, 16) null"
904,pension.PensionInterestRateRisk,NonUSTreas_MktVal,Non-US Treasury Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSTreas_MktVal decimal(18, 2) null"
905,pension.PensionInterestRateRisk,NonUSTreas_Duration,Non-US Treasury Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSTreas_Duration decimal(18, 16) null"
906,pension.PensionInterestRateRisk,NonUSInflnLink_MktVal,Non-US Inflation Linked Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSInflnLink_MktVal decimal(18, 2) null"
907,pension.PensionInterestRateRisk,NonUSInflnLink_Duration,Non-US Inflation Linked Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSInflnLink_Duration decimal(18, 16) null"
908,pension.PensionInterestRateRisk,NonUSMort_MktVal,Non-US Mortgage Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSMort_MktVal decimal(18, 2) null"
909,pension.PensionInterestRateRisk,NonUSMort_Duration,Non-US Mortgage Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSMort_Duration decimal(18, 16) null"
910,pension.PensionInterestRateRisk,NonUSABS_MktVal,Non-US Asset Backed Securities Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSABS_MktVal decimal(18, 2) null"
911,pension.PensionInterestRateRisk,NonUSABS_Duration,Non-US Asset Backed Securities Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSABS_Duration decimal(18, 16) null"
912,pension.PensionInterestRateRisk,NonUSNonGovCMO_MktVal,Non-US Non-Government CMO Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSNonGovCMO_MktVal decimal(18, 2) null"
913,pension.PensionInterestRateRisk,NonUSNonGovCMO_Duration,Non-US Non-Government CMO Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSNonGovCMO_Duration decimal(18, 16) null"
914,pension.PensionInterestRateRisk,NonUSComPaper_MktVal,Non-US Commercial Paper Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSComPaper_MktVal decimal(18, 2) null"
915,pension.PensionInterestRateRisk,NonUSComPaper_Duration,Non-US Commercial Paper Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSComPaper_Duration decimal(18, 16) null"
916,pension.PensionInterestRateRisk,NonUSCMBS_MktVal,Non-US Commercial Mortgage Backed Securities Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSCMBS_MktVal decimal(18, 2) null"
917,pension.PensionInterestRateRisk,NonUSCMBS_Duration,Non-US Commercial Mortgage Backed Securities Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSCMBS_Duration decimal(18, 16) null"
918,pension.PensionInterestRateRisk,NonUSOption_MktVal,Non-US Options Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSOption_MktVal decimal(18, 2) null"
919,pension.PensionInterestRateRisk,NonUSOption_Duration,Non-US Options Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSOption_Duration decimal(18, 16) null"
920,pension.PensionInterestRateRisk,NonUSFuture_MktVal,Non-US Futures Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSFuture_MktVal decimal(18, 2) null"
921,pension.PensionInterestRateRisk,NonUSFuture_Duration,Non-US Futures Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSFuture_Duration decimal(18, 16) null"
922,pension.PensionInterestRateRisk,NonUSGovMB_MktVal,Non-US Government Mortgage Backed Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSGovMB_MktVal decimal(18, 2) null"
923,pension.PensionInterestRateRisk,NonUSGovMB_Duration,Non-US Government Mortgage Backed Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSGovMB_Duration decimal(18, 16) null"
924,pension.PensionInterestRateRisk,NonUSMunicipal_MktVal,Non-US Municipal Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSMunicipal_MktVal decimal(18, 2) null"
925,pension.PensionInterestRateRisk,NonUSMunicipal_Duration,Non-US Municipal Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSMunicipal_Duration decimal(18, 16) null"
926,pension.PensionInterestRateRisk,NonUSConvtble_MktVal,Non-US Convertible Equity Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSConvtble_MktVal decimal(18, 2) null"
927,pension.PensionInterestRateRisk,NonUSConvtble_Duration,Non-US Convertible Equity Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSConvtble_Duration decimal(18, 16) null"
928,pension.PensionInterestRateRisk,NonUSGuarntd_MktVal,Non-US Guaranteed Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSGuarntd_MktVal decimal(18, 2) null"
929,pension.PensionInterestRateRisk,NonUSGuarntd_Duration,Non-US Guaranteed Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column NonUSGuarntd_Duration decimal(18, 16) null"
930,pension.PensionInterestRateRisk,ShortTerm_MktVal,Short Term Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column ShortTerm_MktVal decimal(18, 2) null"
931,pension.PensionInterestRateRisk,ShortTerm_Duration,Short Term Duration,0.0-9.0,nvarchar,"alter table pension.PensionInterestRateRisk alter column ShortTerm_Duration decimal(18, 16) null"
932,pension.PensionInterestRateRisk,CorePlus_MktVal,Core Plus Market Value,$000s,nvarchar,"alter table pension.PensionInterestRateRisk alter column CorePlus_MktVal decimal(18, 2) null"
